"Team";"City";"Stadium";"Capacity";"Country"
"Arsenal";"London";"Emirates Stadium";"60361";"England"
"Aston Villa";"Birmingham";"Villa Park";"42785";"England"
"Blackburn Rovers";"Blackburn";"Ewood Park";"31154";"England"
"Bolton Wanderers";"Bolton";"Reebok Stadium";"28100";"England"
"Chelsea";"London";"Stamford Bridge";"42449";"England"
"Everton";"Liverpool";"Goodison Park";"40157";"England"
"Fulham";"London";"Craven Cottage";"25700";"England"
"Liverpool";"Liverpool";"Anfield";"45276";"England"
"Manchester City";"Manchester";"Etihad Stadium";"47405";"England"
"Manchester United";"Stretford";"Old Trafford";"75811";"England"
"Newcastle United";"Newcastle upon Tyne";"Sports Direct Arena";"52409";"England"
"Norwich City";"Norwich";"Carrow Road";"27010";"England"
"Queens Park Rangers";"London";"Loftus Road";"18439";"England"
"Stoke City";"Stoke-on-Trent";"Britannia Stadium";"27740";"England"
"Sunderland";"Sunderland";"Stadium of Light";"48707";"England"
"Swansea City";"Swansea";"Liberty Stadium";"20520";"England"
"Tottenham Hotspur";"London";"White Hart Lane";"36230";"England"
"West Bromwich Albion";"West Bromwich";"The Hawthorns";"27877";"England"
"Wigan Athletic";"Wigan";"DW Stadium";"25133";"England"
"Wolverhampton Wanderers";"Wolverhampton";"Molineux Stadium";"27828";"England"
"Barnsley";"Barnsley";"Oakwell";"23009";"England"
"Birmingham City";"Birmingham";"St Andrew's Stadium";"30079";"England"
"Blackpool";"Blackpool";"Bloomfield Road";"16220";"England"
"Brighton & Hove Albion";"Brighton";"American Express Community Stadium";"22374";"England"
"Bristol City";"Bristol";"Ashton Gate";"21497";"England"
"Burnley";"Burnley";"Turf Moor";"22546";"England"
"Cardiff City";"Cardiff";"Cardiff City Stadium";"26828";"England"
"Coventry City";"Coventry";"Ricoh Arena";"32609";"England"
"Crystal Palace";"London";"Selhurst Park";"26309";"England"
"Derby County";"Derby";"Pride Park Stadium";"33597";"England"
"Doncaster Rovers";"Doncaster";"Keepmoat Stadium";"15231";"England"
"Hull City";"Kingston upon Hull";"KC Stadium";"25404";"England"
"Ipswich Town";"Ipswich";"Portman Road";"30311";"England"
"Leeds United";"Leeds";"Elland Road";"39460";"England"
"Leicester City";"Leicester";"King Power Stadium";"32500";"England"
"Middlesbrough";"Middlesbrough";"Riverside Stadium";"34988";"England"
"Millwall";"London";"The Den";"20146";"England"
"Nottingham Forest";"Nottingham";"City Ground";"30576";"England"
"Peterborough United";"Peterborough";"London Road Stadium";"15460";"England"
"Portsmouth";"Portsmouth";"Fratton Park";"20224";"England"
"Reading";"Reading";"Madejski Stadium";"24224";"England"
"Southampton";"Southampton";"St Mary's Stadium";"32689";"England"
"Watford";"Watford";"Vicarage Road";"23500";"England"
"West Ham United";"London";"Boleyn Ground";"35303";"England"
"Livingston and Gretna";"Livingston";"Almondvale Stadium";"10122";"Scotland"
"Inverness C.T.";"Iverness";"Caledonian Stadium";"7918";"Scotland"
"Celtic";"Glasgow";"Celtic Park";"60832";"Scotland"
"Dundee";"Dundee";"Dens Park";"12085";"Scotland"
"Dunfermline Athletic";"Dunfermline";"East End Park";"11380";"Scotland"
"Hibernian";"Edinburgh";"Easter Road";"20421";"Scotland"
"Falkirk";"Falkirk";"Falkirk Stadium";"9200";"Scotland"
"Motherwell and Gretna";"Motherwell";"Fir Park";"13742";"Scotland"
"Partick Thistle";"Glasgow";"Firhill Stadium";"10887";"Scotland"
"Rangers";"Glasgow";"Ibrox Stadium";"51082";"Scotland"
"St. Johnstone";"Perth";"McDiarmid Park";"10673";"Scotland"
"Hamilton Academical";"Hamilton";"New Douglas Park";"6078";"Scotland"
"Aberdeen and Inverness C.T.";"Aberdeen";"Pittodrie Stadium";"22199";"Scotland"
"Kilmarnock";"Kilmarnock";"Rugby Park";"18128";"Scotland"
"St. Mirren";"Paisley";"St. Mirren Park";"8016";"Scotland"
"Dundee United";"Dundee";"Tannadice Park";"14209";"Scotland"
"Heart of Midlothian";"Edinburgh";"Tynecastle Stadium";"17420";"Scotland"
"Ross County";"Dingvall";"Victoria Park";"6310";"Scotland"
"FC Augsburg";"Augsburg";"SGL arena";"30660";"Germany"
"Bayer Leverkusen";"Leverkusen";"BayArena";"30210";"Germany"
"Bayern Munich";"Munich";"Allianz Arena";"71000";"Germany"
"Borussia Dortmund";"Dortmund";"Signal Iduna Park";"80645";"Germany"
"Borussia Mönchengladbach";"Mönchengladbach";"Borussia-Park";"54010";"Germany"
"Eintracht Braunschweig";"Braunschweig";"Eintracht-Stadion";"23325";"Germany"
"Eintracht Frankfurt";"Frankfurt";"Commerzbank-Arena";"51500";"Germany"
"SC Freiburg";"Freiburg";"MAGE SOLAR Stadion";"24000";"Germany"
"Hamburger SV";"Hamburg";"Imtech Arena";"57000";"Germany"
"Hannover 96";"Hanover";"HDI-Arena";"49000";"Germany"
"Hertha BSC";"Berlin";"Olympiastadion";"74244";"Germany"
"TSG 1899 Hoffenheim";"Sinsheim";"Rhein-Neckar Arena";"30150";"Germany"
"1. FSV Mainz 05";"Mainz";"Coface Arena";"34000";"Germany"
"1. FC Nürnberg";"Nuremberg";"Grundig-Stadion";"50000";"Germany"
"Schalke 04";"Gelsenkirchen";"Veltins-Arena";"61673";"Germany"
"VfB Stuttgart";"Stuttgart";"Mercedes-Benz Arena";"60441";"Germany"
"Werder Bremen";"Bremen";"Weserstadion";"42100";"Germany"
"VfL Wolfsburg";"Wolfsburg";"Volkswagen Arena";"30000";"Germany"
"Fortuna Düsseldorf";"Düsseldorf";"Esprit Arena";"54600";"Germany"
"SpVgg Greuther Fürth";"Fürth";"Trolli Arena";"18000";"Germany"
"1. FC Kaiserslautern";"Kaiserslautern";"Fritz-Walter-Stadion";"49780";"Germany"
"1. FC Köln";"Cologne";"RheinEnergieStadion";"50000";"Germany"
"FC St. Pauli";"Hamburg";"Millerntor-Stadion";"24487";"Germany"
"Almería";"Almería";"Estadio del Mediterráneo";"22000";"Spain"
"Athletic Bilbao";"Bilbao";"San Mamés";"53332";"Spain"
"Atlético Madrid";"Madrid";"Vicente Calderón";"54851";"Spain"
"Barcelona";"Barcelona";"Camp Nou";"99354";"Spain"
"Betis";"Seville";"Benito Villamarín";"52500";"Spain"
"Celta de Vigo";"Vigo";"Balaídos";"31800";"Spain"
"Elche";"Elche";"Martínez Valero";"36017";"Spain"
"Espanyol";"Cornellà de Llobregat";"Cornellà-El Prat";"40500";"Spain"
"Getafe";"Getafe";"Coliseum Alfonso Pérez";"17700";"Spain"
"Granada";"Granada";"Nuevo Los Cármenes";"22524";"Spain"
"Levante";"Valencia";"Ciutat de València";"25534";"Spain"
"Málaga";"Málaga";"La Rosaleda";"30044";"Spain"
"Osasuna";"Pamplona";"El Sadar";"19553";"Spain"
"Rayo Vallecano";"Madrid";"Campo de Vallecas";"15489";"Spain"
"Real Madrid";"Madrid";"Santiago Bernabéu";"85454";"Spain"
"Real Sociedad";"San Sebastián";"Anoeta";"32076";"Spain"
"Sevilla";"Seville";"Ramón Sánchez Pizjuán";"45500";"Spain"
"Valencia";"Valencia";"Mestalla";"55000";"Spain"
"Valladolid";"Valladolid";"Nuevo José Zorrilla";"26512";"Spain"
"Villarreal";"Villarreal";"El Madrigal";"24890";"Spain"
"Deportivo La Coruña";"A Coruña";"Riazor";"34600";"Spain"
"Mallorca";"Palma";"Iberostar Stadium";"23142";"Spain"
"Zaragoza";"Zaragoza";"La Romareda";"34596";"Spain"
"Ajaccio";"Ajaccio";"Stade François Coty";"10660";"France"
"Bastia";"Bastia";"Stade Armand Cesari";"16480";"France"
"Bordeaux";"Bordeaux";"Stade Chaban-Delmas";"34462";"France"
"Évian";"Annecy";"Parc des Sports";"15660";"France"
"Guingamp";"Guingamp";"Stade du Roudourou";"18126";"France"
"Lille";"Villeneuve-d'Ascq";"Stade Pierre-Mauroy";"50186";"France"
"Lorient";"Lorient";"Stade du Moustoir";"18890";"France"
"Lyon";"Lyon";"Stade de Gerland";"41842";"France"
"Marseille";"Marseille";"Stade Velodrome";"48000";"France"
"AS Monaco";"Monaco";"Stade Louis II";"18500";"France"
"Montpellier";"Montpellier";"Stade de la Mosson";"32939";"France"
"Nantes";"Nantes";"Stade de la Beaujoire";"38285";"France"
"Nice";"Nice";"Allianz Riviera";"35624";"France"
"Paris Saint-Germain";"Paris";"Parc des Princes";"48712";"France"
"Reims";"Reims";"Stade Auguste-Delaune II";"21684";"France"
"Rennes";"Rennes";"Stade de la Route de Lorient";"31127";"France"
"Saint-Étienne";"Saint-Étienne";"Stade Geoffroy-Guichard";"26747";"France"
"Sochaux";"Montbéliard";"Stade Auguste Bonal";"20005";"France"
"Toulouse";"Toulouse";"Stadium Municipal";"35470";"France"
"Valenciennes";"Valenciennes";"Stade du Hainaut";"25172";"France"
"Nancy";"Tomblaine";"Stade Marcel Picot";"20085";"France"
"Dijon";"Dijon";"Stade Gaston Gérard";"15998";"France"
"Troyes";"Troyes";"Stade de l'Aube";"21877";"France"
"Auxerre";"Auxerre";"Stade de l'Abbé-Deschamps";"24493";"France"
"Brest";"Brest";"Stade Francis-Le Blé";"16000";"France"
"Caen";"Caen";"Stade Michel d'Ornano";"21500";"France"
"Sporting de Gijón";"Gijón";"El Molinón";"30000";"Spain"
"Racing de Santander";"Santander";"Campos de Sport de El Sardinero";"22222";"Spain"
"Oldham Athletic";"Oldham";"Boundary Park";"10638";"England"
"Sheffield United";"Sheffield";"Bramall Lane";"32702";"England"
"Wimbledon";"";"Selhurst Park";"26255";"England"
"Sheffield Wednesday";"Sheffield";"Hillsborough";"39732";"England"
"Swindon Town";"Swindon";"County Ground";"15728";"England"
"Charlton Athletic";"Greenwich";"The Valley";"27111";"England"
"Bradford City";"Bradford";"Valley Parade";"25136";"England"
"Grimsby Town";"Cleethorpes";"Blundell park";"9062";"England"
"Luton Town";"Luton";"Kenilworth Road";"10356";"England"
"Notts County F.C.";"Nottingham";"Meadow Lane";"20211";"England"
"Oxford United";"Oxford";"Kassam Stadium";"12500";"England"
"Southend United";"Prittlewell";"Roots Hall";"12392";"England"
"Tranmere Rovers";"Birkenhead";"Prenton Park";"16567";"England"
"Huddersfield Town A.F.C.";"Huddersfield";"The John Smith's Stadium";"24500";"England"
"Port Vale F.C.";"Burslem";"Vale Park";"19052";"England"
"Bury F.C.";"Bury";"Gigg Lane";"11840";"England"
"Crewe Alexandra";"Crewe";"Alexandra Stadium";"10153";"England"
"Stockport County";"Stockport";"Edgeley Park";"10841";"England"
"Walsall F.C.";"Walsall";"Banks's Stadium";"11300";"England"
"Gillingham F.C.";"Gillingham";"Priestfield";"11582";"England"
"Preston North End";"Preston";"Deepdale";"23404";"England"
"Rotherham United";"Rotherham";"New York Stadium";"12021";"England"
"Plymouth Argyle";"Plymouth";"Home Park";"17150";"England"
"Colchester United";"Colchester";"Colchester Community Stadium";"10105";"England"
"Scunthorpe United";"Scunthorpe";"Glanford Park";"9088";"England"
"A.F.C. Bournemouth";"Bournemouth";"Goldsands Stadium";"12000";"England"
"Yeovil Town";"Yeovil";"Huish Park";"9565";"England"
"Brentford";"London";"Griffin Park";"12763";"England"
